county	date	fatalities
Menard	Cases 03-09-2020	0
Midland	Cases 03-09-2020	0
Milam	Cases 03-09-2020	0
Mills	Cases 03-09-2020	0
Mitchell	Cases 03-09-2020	0
Montague	Cases 03-09-2020	0
Montgomery	Cases 03-09-2020	0
Moore	Cases 03-09-2020	0
Morris	Cases 03-09-2020	0
Motley	Cases 03-09-2020	0
Nacogdoches	Cases 03-09-2020	0
Navarro	Cases 03-09-2020	0
Newton	Cases 03-09-2020	0
Nolan	Cases 03-09-2020	0
Nueces	Cases 03-09-2020	0
Ochiltree	Cases 03-09-2020	0
Oldham	Cases 03-09-2020	0
Orange	Cases 03-09-2020	0
Palo Pinto	Cases 03-09-2020	0
Panola	Cases 03-09-2020	0
Parker	Cases 03-09-2020	0
Parmer	Cases 03-09-2020	0
Pecos	Cases 03-09-2020	0
Polk	Cases 03-09-2020	0
Potter	Cases 03-09-2020	0
Presidio	Cases 03-09-2020	0
Rains	Cases 03-09-2020	0
Randall	Cases 03-09-2020	0
Reagan	Cases 03-09-2020	0
Real	Cases 03-09-2020	0
Red River	Cases 03-09-2020	0
Reeves	Cases 03-09-2020	0
Refugio	Cases 03-09-2020	0
Roberts	Cases 03-09-2020	0
Robertson	Cases 03-09-2020	0
Rockwall	Cases 03-09-2020	0
Runnels	Cases 03-09-2020	0
Rusk	Cases 03-09-2020	0
Sabine	Cases 03-09-2020	0
San Augustine	Cases 03-09-2020	0
San Jacinto	Cases 03-09-2020	0
San Patricio	Cases 03-09-2020	0
San Saba	Cases 03-09-2020	0
Schleicher	Cases 03-09-2020	0
Scurry	Cases 03-09-2020	0
Shackelford	Cases 03-09-2020	0
Shelby	Cases 03-09-2020	0
Sherman	Cases 03-09-2020	0
Smith	Cases 03-09-2020	0
Somervell	Cases 03-09-2020	0
Starr	Cases 03-09-2020	0
Stephens	Cases 03-09-2020	0
Sterling	Cases 03-09-2020	0
Stonewall	Cases 03-09-2020	0
Sutton	Cases 03-09-2020	0
Swisher	Cases 03-09-2020	0
Tarrant	Cases 03-09-2020	0
Taylor	Cases 03-09-2020	0
Terrell	Cases 03-09-2020	0
Terry	Cases 03-09-2020	0
Throckmorton	Cases 03-09-2020	0
Titus	Cases 03-09-2020	0
Tom Green	Cases 03-09-2020	0
Travis	Cases 03-09-2020	0
Trinity	Cases 03-09-2020	0
Tyler	Cases 03-09-2020	0
Upshur	Cases 03-09-2020	0
Upton	Cases 03-09-2020	0
Uvalde	Cases 03-09-2020	0
Val Verde	Cases 03-09-2020	0
Van Zandt	Cases 03-09-2020	0
Victoria	Cases 03-09-2020	0
Walker	Cases 03-09-2020	0
Waller	Cases 03-09-2020	0
Ward	Cases 03-09-2020	0
Washington	Cases 03-09-2020	0
Webb	Cases 03-09-2020	0
Wharton	Cases 03-09-2020	0
Wheeler	Cases 03-09-2020	0
Wichita	Cases 03-09-2020	0
Wilbarger	Cases 03-09-2020	0
Willacy	Cases 03-09-2020	0
Williamson	Cases 03-09-2020	0
Wilson	Cases 03-09-2020	0
Winkler	Cases 03-09-2020	0
Wise	Cases 03-09-2020	0
Wood	Cases 03-09-2020	0
Yoakum	Cases 03-09-2020	0
Young	Cases 03-09-2020	0
Zapata	Cases 03-09-2020	0
Zavala	Cases 03-09-2020	0
Anderson	Cases 03-10-2020	0
Andrews	Cases 03-10-2020	0
Angelina	Cases 03-10-2020	0
Aransas	Cases 03-10-2020	0
Archer	Cases 03-10-2020	0
Armstrong	Cases 03-10-2020	0
Atascosa	Cases 03-10-2020	0
Austin	Cases 03-10-2020	0
Bailey	Cases 03-10-2020	0
Bandera	Cases 03-10-2020	0
Bastrop	Cases 03-10-2020	0
Baylor	Cases 03-10-2020	0
Bee	Cases 03-10-2020	0
Bell	Cases 03-10-2020	0
