county	date	positive
Coryell	20200309	0
Cottle	20200309	0
Crane	20200309	0
Crockett	20200309	0
Crosby	20200309	0
Culberson	20200309	0
Dallam	20200309	0
Dallas	20200309	0
Dawson	20200309	0
Deaf Smith	20200309	0
Delta	20200309	0
Denton	20200309	0
DeWitt	20200309	0
Dickens	20200309	0
Dimmit	20200309	0
Donley	20200309	0
Duval	20200309	0
Eastland	20200309	0
Ector	20200309	0
Edwards	20200309	0
Ellis	20200309	0
El Paso	20200309	0
Erath	20200309	0
Falls	20200309	0
Fannin	20200309	0
Fayette	20200309	0
Fisher	20200309	0
Floyd	20200309	0
Foard	20200309	0
Fort Bend	20200309	6
Franklin	20200309	0
Freestone	20200309	0
Frio	20200309	0
Gaines	20200309	0
Galveston	20200309	0
Garza	20200309	0
Gillespie	20200309	0
Glasscock	20200309	0
Goliad	20200309	0
Gonzales	20200309	0
Gray	20200309	0
Grayson	20200309	0
Gregg	20200309	0
Grimes	20200309	0
Guadalupe	20200309	0
Hale	20200309	0
Hall	20200309	0
Hamilton	20200309	0
Hansford	20200309	0
Hardeman	20200309	0
Hardin	20200309	0
Harris	20200309	5
Harrison	20200309	0
Hartley	20200309	0
Haskell	20200309	0
Hays	20200309	0
Hemphill	20200309	0
Henderson	20200309	0
Hidalgo	20200309	0
Hill	20200309	0
Hockley	20200309	0
Hood	20200309	0
Hopkins	20200309	0
Houston	20200309	0
Howard	20200309	0
Hudspeth	20200309	0
Hunt	20200309	0
Hutchinson	20200309	0
Irion	20200309	0
Jack	20200309	0
Jackson	20200309	0
Jasper	20200309	0
Jeff Davis	20200309	0
Jefferson	20200309	0
Jim Hogg	20200309	0
Jim Wells	20200309	0
Johnson	20200309	0
Jones	20200309	0
Karnes	20200309	0
Kaufman	20200309	0
Kendall	20200309	0
Kenedy	20200309	0
Kent	20200309	0
Kerr	20200309	0
Kimble	20200309	0
King	20200309	0
Kinney	20200309	0
Kleberg	20200309	0
Knox	20200309	0
Lamar	20200309	0
Lamb	20200309	0
Lampasas	20200309	0
La Salle	20200309	0
Lavaca	20200309	0
Lee	20200309	0
Leon	20200309	0
Liberty	20200309	0
Limestone	20200309	0
Lipscomb	20200309	0
Live Oak	20200309	0
Llano	20200309	0
Loving	20200309	0
Lubbock	20200309	0
Lynn	20200309	0
McCulloch	20200309	0
McLennan	20200309	0
McMullen	20200309	0
Madison	20200309	0
Marion	20200309	0
Martin	20200309	0
Mason	20200309	0
Matagorda	20200309	0
Maverick	20200309	0
Medina	20200309	0
Menard	20200309	0
Midland	20200309	0
Milam	20200309	0
Mills	20200309	0
Mitchell	20200309	0
Montague	20200309	0
Montgomery	20200309	0
Moore	20200309	0
Morris	20200309	0
Motley	20200309	0
Nacogdoches	20200309	0
